stn_num,name,Lat,Lon
9536,DORSET DOWNS,-34.2,116.9833
8056,DOUTHA SPRINGS,-29,115.95
10042,DOWERIN,-31.1936,117.0311
109508,DOYLE ROAD CB1,-33.744,115.3432
12137,DOYLES WELL,-28.5,120.9833
10184,DRESDEN,-30.7833,118
7074,DROMEDARY HILLS,-29.0167,118.45
8235,DRUMMONDEARNOCH,-28.7036,115.8167
9606,DRUMMONDS,-34.3417,115.9892
1026,DRYSDALE RIVER STATION,-15.7031,126.3781
5002,DUCK CREEK,-22.515,116.5825
9929,DUCK LAKE,-35.0042,117.8608
8250,DUDAWA,-29.3833,115.7167
9700,DUDINALUP,-33.9,115.8
10545,DUDININ,-32.8714,117.9042
12138,DUKETON,-27.65,122.3
8197,DULA,-30.6,116.6
10871,DULBELLING,-32.0667,117.25
8198,DULI,-30.6,116.9833
10546,DUMBLEYUNG,-33.3139,117.7422
10575,DUNA,-32.5,118.0333
9701,DUNCANS MILL,-32.7,116.3
12139,DUNDAS,-32.4,121.8
10872,DUNELM,-33.1722,118.2475
9795,DUNGALLY,-33,116.3
2007,DUNHAM RIVER STATION,-16.3167,128.25
8046,DUNOLLY,-30.9133,116.8092
10547,DURANILLIN,-33.5167,116.8014
8045,DURAWAH,-28.55,114.9
10548,DURRUNOOK,-33.5,118.2
10888,DWARDA DOWNS,-32.8125,116.6931
9538,DWELLINGUP,-32.7103,116.0594
9702,DWELLINGUP RAILWAY,-32.7,116.1
10290,DYARD,-30.4025,117.5367
10549,DYLIABING,-33.5333,117.9167
9775,DYMESBURY PARK,-34.95,117.8833
10027,EADINE,-31.7167,116.5167
13001,EARAHEEDY,-25.5908,121.5853
7198,EAROO,-29.5,118.5
10746,EAST HYDEN,-32.3642,119.1986
5053,EAST INTERCOURSE ISLAND,-20.6553,116.6789
8179,EAST KONDUT,-30.6583,116.9344
9570,EAST NANNUP,-34.0183,115.8339
10190,ECCLESTON,-31.4,117.8
9787,ECLIPSE ISLAND,-35.1833,117.8833
6020,EDAGGEE,-25.36,114.2292
7024,EDAH,-28.2731,117.1544
10550,EDENHOLME,-33.2658,118.4861
12027,EDJUDINA,-29.8119,122.3547
7164,EDMUND,-23.7633,116.1206
12296,EENUIN,-30.75,119
4014,EGINBAH,-20.85,119.7667
10045,EJANDING,-31.0114,117.1336
9913,EKAMURRA,-33.6906,115.8439
1023,EL QUESTRO,-16.0086,127.9806
8230,ELENA,-30.3817,116.7217
9808,ELGIN,-33.5167,115.6167
6079,ELLA VALLA,-25.0881,114.3836
10046,ELLABIN,-31.2,118.1
1024,ELLENBRAE,-15.9572,127.0628
3008,ELLENDALE,-17.9281,124.8108
3106,ELLENDALE MINESITE,-17.5669,124.8411
10669,ELLENSFIELD,-34,117.5
9846,ELROY,-33.695,122.2269
9511,ELSFIELD,-32.7,115.95
8173,ELSMORNE FARM,-29.0333,115.75
10796,ELVERDTON,-33.6333,120.1333
2034,ELVIRE,-18.45,127.95
10062,ELY PARK,-31.2347,116.8819
1014,EMMA GORGE,-15.9083,128.1286
6072,EMU CREEK STATION,-23.0314,115.0414
10552,EMU HILL,-32.1,118.3667
10049,ENDOMOORE,-30.3333,117.5167
8225,ENEABBA,-29.8183,115.2722
8181,ENEABBA POST OFFICE OLD SITE,-29.8,115.35
8199,ENEGEE,-28.4,114.8
9179,ENEMINGA,-30.7994,115.5467
10185,ENGOBLEEN,-30.8,118.2
8200,ERADU,-28.6936,115.0408
8203,ERADU GREENLANDS,-28.8,115.0167
5082,ERAMURRA POOL,-21.0544,116.2575
10050,ERIKIN,-31.9333,117.8833
9772,ERINAIR,-33.7608,121.2156
8227,ERINDOON,-29.8667,115.15
12095,ERLISTOUN,-27.9717,122.325
